"Designator","Footprint","Mid X","Mid Y","Ref X","Ref Y","Pad X","Pad Y","Layer","Rotation","Comment"
"TB1","Terminal_Block_3.5mm_x_12","19370mil","16238.827mil","19370mil","17103mil","19370mil","16996.701mil","T","270.00","SparkIO Terminal Block 1"
"U3","SOT23-3L","20630mil","15153mil","20630mil","15153mil","20667.402mil","15196.307mil","T","270.00","Header 3"
"R19","0603_-_NO_SILK","20740mil","15693mil","20740mil","15693mil","20740mil","15726mil","T","270.00","Resistor"
"R18","0603_-_NO_SILK","21190mil","14973mil","21190mil","14973mil","21223mil","14973mil","T","180.00","Resistor"
"R17","0603_-_NO_SILK","19756.926mil","15036.777mil","19756.926mil","15036.777mil","19723.926mil","15036.777mil","T","360.00","Resistor"
"R4","0603_-_NO_SILK","19756.929mil","15229.675mil","19756.929mil","15229.675mil","19723.929mil","15229.675mil","T","360.00","Resistor"
"R15","0603_-_NO_SILK","21190mil","15333mil","21190mil","15333mil","21223mil","15333mil","T","180.00","Resistor"
"R14","0603_-_NO_SILK","21370mil","15073mil","21370mil","15073mil","21370mil","15106mil","T","270.00","Resistor"
"R9","0603_-_NO_SILK","20950mil","15073mil","20950mil","15073mil","20950mil","15106mil","T","270.00","Resistor"
"R12","0603_-_NO_SILK","20790mil","15073mil","20790mil","15073mil","20790mil","15106mil","T","270.00","Resistor"
"R11","0603_-_NO_SILK","21370mil","15233mil","21370mil","15233mil","21370mil","15200mil","T","90.00","Resistor"
"R10","0603_-_NO_SILK","21050mil","15333mil","21050mil","15333mil","21017mil","15333mil","T","360.00","Resistor"
"R13","0603_-_NO_SILK","21050mil","14973mil","21050mil","14973mil","21017mil","14973mil","T","360.00","Resistor"
"R8","0603_-_NO_SILK","20274.25mil","14973.003mil","20274.25mil","14973.003mil","20307.25mil","14973.003mil","T","180.00","Resistor"
"R7","0603_-_NO_SILK","20274.25mil","15333.003mil","20274.25mil","15333.003mil","20307.25mil","15333.003mil","T","180.00","Resistor"
"R6","0603_-_NO_SILK","20454.25mil","15073.003mil","20454.25mil","15073.003mil","20454.25mil","15106.003mil","T","270.00","Resistor"
"R5","0603_-_NO_SILK","20034.25mil","15073.003mil","20034.25mil","15073.003mil","20034.25mil","15106.003mil","T","270.00","Resistor"
"R16","0603_-_NO_SILK","19874.25mil","15073.003mil","19874.25mil","15073.003mil","19874.25mil","15106.003mil","T","270.00","Resistor"
"R3","0603_-_NO_SILK","20454.25mil","15233.003mil","20454.25mil","15233.003mil","20454.25mil","15200.003mil","T","90.00","Resistor"
"R2","0603_-_NO_SILK","20134.25mil","15333.003mil","20134.25mil","15333.003mil","20101.25mil","15333.003mil","T","360.00","Resistor"
"R1","0603_-_NO_SILK","20134.25mil","14973.003mil","20134.25mil","14973.003mil","20101.25mil","14973.003mil","T","360.00","Resistor"
"H2","HDR1X12","20640mil","16403mil","20640mil","16953mil","20640mil","16953mil","T","270.00","SparkIO Header 2"
"H1","HDR1X12","19940mil","16403mil","19940mil","16953mil","19940mil","16953mil","T","270.00","SparkIO Header 1"
"C13","0603_-_NO_SILK","20215mil","16703mil","20215mil","16703mil","20215mil","16736mil","T","270.00","Capacitor"
"C12","0603_-_NO_SILK","20415mil","16703mil","20415mil","16703mil","20415mil","16736mil","T","270.00","Capacitor"
"C11","0603_-_NO_SILK","19756.926mil","15116.777mil","19756.926mil","15116.777mil","19723.926mil","15116.777mil","T","360.00","Capacitor"
"C10","0603_-_NO_SILK","19756.929mil","15309.675mil","19756.929mil","15309.675mil","19723.929mil","15309.675mil","T","360.00","Capacitor"
"C9","0603_-_NO_SILK","20630mil","15033mil","20630mil","15033mil","20597mil","15033mil","T","360.00","Capacitor"
"C8","0603_-_NO_SILK","20515mil","16703mil","20515mil","16703mil","20515mil","16736mil","T","270.00","Capacitor"
"C7","0603_-_NO_SILK","20315mil","16703mil","20315mil","16703mil","20315mil","16736mil","T","270.00","Capacitor"
"C6","0603_-_NO_SILK","21250mil","15233mil","21250mil","15233mil","21250mil","15266mil","T","270.00","Capacitor"
"C5","0603_-_NO_SILK","21250mil","15073mil","21250mil","15073mil","21250mil","15106mil","T","270.00","Capacitor"
"C4","0603_-_NO_SILK","20870mil","15073mil","20870mil","15073mil","20870mil","15106mil","T","270.00","Capacitor"
"C3","0603_-_NO_SILK","20334.25mil","15233.003mil","20334.25mil","15233.003mil","20334.25mil","15266.003mil","T","270.00","Capacitor"
"C2","0603_-_NO_SILK","20334.25mil","15073.003mil","20334.25mil","15073.003mil","20334.25mil","15106.003mil","T","270.00","Capacitor"
"C1","0603_-_NO_SILK","19954.25mil","15073.003mil","19954.25mil","15073.003mil","19954.25mil","15106.003mil","T","270.00","Capacitor"
"DS1","LED0603_-_Single","23140mil","1943mil","23140mil","1943mil","23140mil","1976mil","T","270.00","PowerInd"
"J2","PCC-SMP_K_Thermocouple","23466.378mil","960.795mil","23466.378mil","1226.543mil","23196.693mil","1226.543mil","T","0.00","Thermocouple B"
"J1","PCC-SMP_K_Thermocouple","22639.606mil","960.795mil","22639.606mil","1226.543mil","22369.921mil","1226.543mil","T","0.00","Thermocouple A"
"J4","Audio_Jack_2.5mm_Mono","21925.827mil","794.496mil","22040mil","763mil","21949.449mil","664.575mil","T","270.00","Thermistor B"
"J3","Audio_Jack_2.5mm_Mono","21925.827mil","1184.496mil","22040mil","1153mil","21949.449mil","1054.575mil","T","270.00","Thermistor A"
"U2","SOIC8","23510mil","1550.008mil","23510mil","1550.008mil","23435mil","1457.488mil","T","90.00","OPAMP dual"
"U1","SOIC8","22587.793mil","1550.011mil","22587.793mil","1550.011mil","22512.793mil","1457.491mil","T","90.00","OPAMP dual"
"TB2","Terminal_Block_3.5mm_x_12","23700mil","2667.173mil","23700mil","1803mil","23700mil","1909.299mil","T","90.00","SparkIO Terminal Block 2"
"TB1","Terminal_Block_3.5mm_x_12","21770mil","2638.827mil","21770mil","3503mil","21770mil","3396.701mil","T","270.00","SparkIO Terminal Block 1"
"U3","SOT23-3L","23030mil","1553mil","23030mil","1553mil","23067.402mil","1596.307mil","T","270.00","Header 3"
"R19","0603_-_NO_SILK","23140mil","2093mil","23140mil","2093mil","23140mil","2126mil","T","270.00","Resistor"
"R18","0603_-_NO_SILK","23590mil","1373mil","23590mil","1373mil","23623mil","1373mil","T","180.00","Resistor"
"R17","0603_-_NO_SILK","22156.926mil","1436.777mil","22156.926mil","1436.777mil","22123.926mil","1436.777mil","T","360.00","Resistor"
"R4","0603_-_NO_SILK","22156.929mil","1629.675mil","22156.929mil","1629.675mil","22123.929mil","1629.675mil","T","360.00","Resistor"
